InstrumentCodeDescriptionBondTypeMaturityDateCouponFirstCpnDateStartDate
IT0005456667BOT 31/03/22 6MBOT31/03/220.00000-24/09/21
IT0005244782BTPS 1.200 01/04/22BTP01/04/221.2000001/04/1723/02/17
IT0005441719BOT 14/04/22 12MBOT14/04/220.00000-07/04/21
IT0005086886BTPS 1.350 15/04/22BTP15/04/221.3500015/04/1510/02/15
IT0005460313BOT 29/04/22 6MBOT29/04/220.00000-25/10/21
IT0005444507BOT 13/05/22 12MBOT13/05/220.00000-10/05/21
IT0005188120BTPSi 0.100 15/05/22BTi15/05/220.1000015/11/1619/05/16
IT0005412348CTZ 20- 30/05/22 24MCTZ30/05/220.00000-22/05/20
IT0005466617BOT 31/05/22 6MBOT31/05/220.00000-24/11/21
IT0005447187BOT 14/06/22 12MBOT14/06/220.00000-07/06/21
IT0005104473CCTeu 0.002 15/06/22CCT15/06/220.0030015/06/1526/03/15
IT0005452252BOT 14/07/22 12MBOT14/07/220.00000-07/07/21
IT0005366007BTPS 1.000 15/07/22BTP15/07/221.0000015/07/1911/03/19
IT0005480352BOT 29/07/22 6MBOT29/07/220.00000-25/01/22
IT0005277444BTPS 0.90 01/08/22BTP01/08/220.9000001/02/1826/07/17
IT0005454860BOT 12/08/22 12MBOT12/08/220.00000-09/08/21
IT0005482937BOT 31/08/22 6MBOT31/08/220.00000-22/02/22
IT0004801541BTPS 5.500 01/09/22BTP01/09/225.5000001/09/1224/02/12
IT0005456659BOT 14/09/22 12MBOT14/09/220.00000-07/09/21
IT0005135840BTPS 1.450 15/09/22BTP15/09/221.4500015/03/1609/09/15
IT0005422487CTZ 20- 28/09/22 24MCTZ28/09/220.00000-22/09/20
IT0005486755BOT 30/09/22 6MBOT30/09/220.00000-25/03/22
IT0005460305BOT 14/10/22 12MBOT14/10/220.00000-08/10/21
IT0004848831BTPS 5.500 01/11/22BTP01/11/225.5000001/11/1228/08/12
IT0005466609BOT 14/11/22 12MBOT14/11/220.00000-08/11/21
IT0005440679BTPS 0 29/11/22BTP29/11/220.00000-23/03/21
IT0005472953BOT 14/12/22 12MBOT14/12/220.00000-08/12/21
IT0005137614CCTeu 0.077 15/12/22CCT15/12/220.1530015/12/1525/09/15
IT0005480345BOT 13/01/23 12MBOT13/01/230.00000-10/01/22
IT0005384497BTPS 0.05 15/01/23BTP15/01/230.0500015/01/2010/09/19
IT0005482929BOT 14/02/23 12MBOT14/02/230.00000-08/02/22
IT0005325946BTPS 0.950 01/03/23BTP01/03/230.9500001/09/1823/02/18
IT0005486748BOT 14/03/23 12MBOT14/03/230.00000-08/03/22
IT0005172322BTPS 0.950 15/03/23BTP15/03/230.9500015/09/1609/03/16
IT0004898034BTPS 4.500 01/05/23BTP01/05/234.5000001/05/1325/02/13
IT0005329344BTPSi 0.100 15/05/23BTi15/05/230.1000015/05/1822/03/18
IT0005405318BTPS 0.600 15/06/23BTP15/06/230.6000015/06/2010/03/20
IT0005185456CCTeu 0.083 15/07/23CCT15/07/230.1660015/07/1625/04/16
IT0004356843BTPS 4.750 01/08/23BTP01/08/234.7500001/08/0822/11/08
IT0005413684BTPS 0.300 15/08/23BTP15/08/230.3000015/08/2009/06/20
IT0004243512BTPSi 2.600 15/09/23BTi15/09/232.6000015/09/0722/11/08
IT0005344335BTPS 2.450 01/10/23BTP01/10/232.4500001/10/1828/08/18
IT0005215246BTPS 0.650 15/10/23BTP15/10/230.6500015/10/1609/09/16
IT0000366655BTPS 9.000 01/11/23BTP01/11/239.0000001/05/9422/11/08
IT0005482309BTPS 0 29/11/23BTP29/11/230.00000-24/01/22
IT0005399230CCTeu 0.002 15/12/23CCT15/12/230.0030015/06/2028/01/20
IT0005424251BTPS 0 15/01/24BTP15/01/240.00000-09/10/20
IT0005454050BTPS 0 30/01/24BTP30/01/240.00000-23/07/21
IT0005218968CCTeu 0.147 15/02/24CCT15/02/240.2920015/02/1726/10/16
IT0004953417BTPS 4.500 01/03/24BTP01/03/244.5000001/09/1326/07/13
IT0005439275BTPS 0 15/04/24BTP15/04/240.00000-09/03/21
IT0005246340BTPS 1.850 15/05/24BTP15/05/241.8500015/05/1709/03/17
IT0005367492BTPS 1.750 01/07/24BTP01/07/241.7500001/07/1926/03/19
IT0005452989BTPS 0 15/08/24BTP15/08/240.00000-09/07/21
IT0005001547BTPS 3.750 01/09/24BTP01/09/243.7500001/09/1425/02/14
IT0005004426BTPSi 2.350 15/09/24BTi15/09/242.3500015/09/1413/03/14
IT0005252520CCTeu 0.291 15/10/24CCT15/10/240.5760015/10/1724/04/17
IT0005282527BTPS 1.450 15/11/24BTP15/11/241.4500015/11/1711/09/17
IT0005045270BTPS 2.500 01/12/24BTP01/12/242.5000001/12/1426/08/14
IT0005474330BTPS 0 15/12/24BTP15/12/240.00000-10/12/21
IT0005359846CCTeu 0.662 15/01/25CCT15/01/251.3160015/07/1928/01/19
IT0005386245BTPS 0.350 01/02/25BTP01/02/250.3500001/02/2025/09/19
IT0004513641BTPS 5.000 01/03/25BTP01/03/255.0000001/09/0908/07/09
IT0005311508CCTeu 0.215 15/04/25CCT15/04/250.4260015/04/1826/10/17
IT0005327306BTPS 1.450 15/05/25BTP15/05/251.4500015/05/1809/03/18
IT0005090318BTPS 1.500 01/06/25BTP01/06/251.5000001/06/1524/02/15
IT0005408502BTPS 1.850 01/07/25BTP01/07/251.8500001/07/2022/04/20
IT0005331878CCTeu 0.070 15/09/25CCT15/09/250.1360015/09/1824/04/18
IT0005345183BTPS 2.500 15/11/25BTP15/11/252.5000015/11/1811/09/18
IT0005127086BTPS 2.000 01/12/25BTP01/12/252.0000001/12/1526/08/15
IT0005419848BTPS 0.500 01/02/26BTP01/02/260.5000001/02/2126/08/20
IT0004644735BTPS 4.500 01/03/26BTP01/03/264.5000001/03/1124/09/10
IT0005437147BTPS 0 01/04/26BTP01/04/260.00000-23/02/21
IT0005428617CCTeu 0.000 15/04/26CCT15/04/260.00000-25/11/20
IT0005415416BTPSi 0.650 15/05/26BTi15/05/260.6500015/11/2023/06/20
IT0005170839BTPS 1.600 01/06/26BTP01/06/261.6000001/06/1624/02/16
IT0005370306BTPS 2.100 15/07/26BTP15/07/262.1000015/07/1909/04/19
IT0005454241BTPS 0 01/08/26BTP01/08/260.00000-27/07/21
IT0004735152BTPSi 3.100 15/09/26BTi15/09/263.1000015/09/1109/06/11
IT0001086567BTPS 7.250 01/11/26BTP01/11/267.2500001/05/9722/11/08
IT0005210650BTPS 1.250 01/12/26BTP01/12/261.2500001/12/1626/07/16
IT0005390874BTPS 0.850 15/01/27BTP15/01/270.8500015/01/2011/11/19
IT0005484552BTPS 1.100 01/04/27BTP01/04/271.1000001/04/2223/02/22
IT0005240830BTPS 2.200 01/06/27BTP01/06/272.2000001/06/1726/01/17
IT0005274805BTPS 2.050 01/08/27BTP01/08/272.0500001/08/1728/06/17
IT0005416570BTPS 0.950 15/09/27BTP15/09/270.9500015/09/2010/07/20
IT0001174611BTPS 6.500 01/11/27BTP01/11/276.5000001/05/9822/11/08
IT0005323032BTPS 2.000 01/02/28BTP01/02/282.0000001/08/1826/01/18
IT0005433690BTPS 0.250 15/03/28BTP15/03/280.2500015/03/2112/01/21
IT0005246134BTPSi 1.300 15/05/28BTi15/05/281.3000015/05/1708/03/17
IT0005445306BTPS 0.500 15/07/28BTP15/07/280.5000015/07/2111/05/21
IT0004889033BTPS 4.750 01/09/28BTP01/09/284.7500001/03/1316/01/13
IT0005340929BTPS 2.800 01/12/28BTP01/12/282.8000001/12/1826/07/18
IT0005467482BTPS 0.450 15/02/29BTP15/02/290.4500015/02/2209/11/21
IT0005451361CCTeu 0.064 15/04/29CCT15/04/290.1260015/10/2125/06/21
IT0005365165BTPS 3.000 01/08/29BTP01/08/293.0000001/08/1925/02/19
IT0001278511BTPS 5.250 01/11/29BTP01/11/295.2500001/05/9922/11/08
IT0005024234BTPS 3.500 01/03/30BTP01/03/303.5000001/09/1415/05/14
IT0005383309BTPS 1.350 01/04/30BTP01/04/301.3500001/10/1927/08/19
IT0005387052BTPSi 0.400 15/05/30BTi15/05/300.4000015/11/1903/10/19
IT0005403396BTPS 0.950 01/08/30BTP01/08/300.9500001/08/2025/02/20
IT0005491250CCTeu 0.114 15/10/30CCT15/10/300.2260015/04/2224/03/22
IT0005413171BTPS 1.650 01/12/30BTP01/12/301.6500001/12/2004/06/20
IT0005422891BTPS 0.900 01/04/31BTP01/04/310.9000001/04/2125/09/20
IT0001444378BTPS 6.000 01/05/31BTP01/05/316.0000001/05/0022/11/08
IT0005436693BTPS 0.600 01/08/31BTP01/08/310.6000001/08/2117/02/21
IT0005449969BTPS 0.950 01/12/31BTP01/12/310.9500001/12/2109/06/21
IT0005094088BTPS 1.650 01/03/32BTP01/03/321.6500001/09/1519/03/15
IT0005466013BTPS 0.950 01/06/32BTP01/06/320.9500001/12/2126/10/21
IT0005138828BTPSi 1.250 15/09/32BTi15/09/321.2500015/03/1608/10/15
IT0003256820BTPS 5.750 01/02/33BTP01/02/335.7500001/08/0222/11/08
IT0005482994BTPSi 0.100 15/05/33BTi15/05/330.1000015/05/2203/02/22
IT0005240350BTPS 2.450 01/09/33BTP01/09/332.4500001/03/1719/01/17
IT0003535157BTPS 5.000 01/08/34BTP01/08/345.0000001/02/0422/11/08
IT0005358806BTPS 3.350 01/03/35BTP01/03/353.3500001/03/1916/01/19
IT0003745541BTPSi 2.350 15/09/35BTi15/09/352.3500015/03/0522/11/08
IT0005402117BTPS 1.450 01/03/36BTP01/03/361.4500001/09/2011/02/20
IT0005177909BTPS 2.250 01/09/36BTP01/09/362.2500001/09/1620/04/16
IT0003934657BTPS 4.000 01/02/37BTP01/02/374.0000001/02/0622/11/08
IT0005433195BTPS 0.950 01/03/37BTP01/03/370.9500001/03/2106/01/21
IT0005321325BTPS 2.950 01/09/38BTP01/09/382.9500001/03/1811/01/18
IT0004286966BTPS 5.000 01/08/39BTP01/08/395.0000001/02/0822/11/08
IT0005377152BTPS 3.100 01/03/40BTP01/03/403.1000001/09/1913/06/19
IT0004532559BTPS 5.000 01/09/40BTP01/09/405.0000001/03/1010/09/09
IT0005421703BTPS 1.800 01/03/41BTP01/03/411.8000001/03/2109/09/20
IT0004545890BTPSi 2.550 15/09/41BTi15/09/412.5500015/03/1022/10/09
IT0004923998BTPS 4.750 01/09/44BTP01/09/444.7500001/09/1316/05/13
IT0005438004BTPS 1.500 30/04/45 GBTP30/04/451.5000030/04/2104/03/21
IT0005083057BTPS 3.250 01/09/46BTP01/09/463.2500001/03/1516/01/15
IT0005162828BTPS 2.700 01/03/47BTP01/03/472.7000001/03/1603/02/16
IT0005273013BTPS 3.450 01/03/48BTP01/03/483.4500001/09/1708/06/17
IT0005363111BTPS 3.850 01/09/49BTP01/09/493.8500001/03/1907/02/19
IT0005398406BTPS 2.450 01/09/50BTP01/09/502.4500001/03/2016/01/20
IT0005436701BTPSi 0.150 15/05/51BTi15/05/510.1500015/05/2117/02/21
IT0005425233BTPS 1.700 01/09/51BTP01/09/511.7000001/03/2123/10/20
IT0005480980BTPS 2.150 01/09/52BTP01/09/522.1500001/03/2206/01/22
IT0005217390BTPS 2.800 01/03/67BTP01/03/672.8000001/03/1705/10/16
IT0005441883BTPS 2.150 01/03/72BTP01/03/722.1500001/09/2108/04/21
