"Date","Price","Open","High","Low","Change %"
"Mar 25, 2022","0.202","0.197","0.217","0.159","4.12%"
"Mar 24, 2022","0.194","0.141","0.212","0.130","32.88%"
"Mar 23, 2022","0.146","0.146","0.194","0.107","-15.61%"
"Mar 22, 2022","0.173","0.170","0.201","0.161","45.38%"
"Mar 21, 2022","0.119","0.167","0.167","0.104","54.55%"
"Mar 18, 2022","0.077","0.111","0.133","0.066","-27.36%"
"Mar 17, 2022","0.106","0.108","0.131","0.090","13.98%"
"Mar 16, 2022","0.093","0.133","0.145","0.082","-13.08%"
"Mar 15, 2022","0.107","0.170","0.179","0.097","-37.43%"
"Mar 14, 2022","0.171","0.173","0.206","0.161","13.25%"
"Mar 11, 2022","0.151","0.177","0.200","0.139","-21.76%"
"Mar 10, 2022","0.193","-0.003","0.221","-0.053","-939.13%"
"Mar 09, 2022","-0.023","-0.067","-0.003","-0.110","-64.62%"
"Mar 08, 2022","-0.065","-0.065","-0.053","-0.121","0.00%"
"Mar 07, 2022","-0.065","-0.098","-0.039","-0.110","-54.23%"
"Mar 04, 2022","-0.142","-0.119","-0.086","-0.157","57.78%"
"Mar 03, 2022","-0.090","-0.126","-0.031","-0.126","-19.64%"
"Mar 02, 2022","-0.112","-0.221","-0.088","-0.221","-58.21%"
"Mar 01, 2022","-0.268","-0.040","-0.040","-0.291","-5,460.00%"
"Feb 28, 2022","0.005","0.078","0.109","-0.002","-95.15%"
"Feb 25, 2022","0.103","0.070","0.116","0.046","80.70%"
"Feb 24, 2022","0.057","0.174","0.186","0.027","-70.16%"
"Feb 23, 2022","0.191","0.184","0.220","0.165","22.44%"
"Feb 22, 2022","0.156","0.120","0.188","0.118","8.33%"
"Feb 21, 2022","0.144","0.134","0.162","0.115","32.11%"
"Feb 18, 2022","0.109","0.147","0.161","0.090","-16.15%"
"Feb 17, 2022","0.130","0.199","0.213","0.126","-34.34%"
"Feb 16, 2022","0.198","0.290","0.294","0.187","-23.85%"
"Feb 15, 2022","0.260","0.283","0.320","0.255","-11.26%"
"Feb 14, 2022","0.293","0.301","0.314","0.276","-10.12%"
"Feb 11, 2022","0.326","0.316","0.346","0.277","8.31%"
"Feb 10, 2022","0.301","0.251","0.303","0.216","38.07%"
"Feb 09, 2022","0.218","0.264","0.316","0.217","-31.01%"
"Feb 08, 2022","0.316","0.368","0.368","0.235","4.64%"
"Feb 07, 2022","0.302","0.352","0.458","0.302","-0.33%"
"Feb 04, 2022","0.303","0.290","0.338","0.207","99.34%"
"Feb 03, 2022","0.152","-0.023","0.183","-0.038","-445.45%"
"Feb 02, 2022","-0.044","-0.074","-0.019","-0.087","-37.14%"
"Feb 01, 2022","-0.070","-0.101","-0.055","-0.119","-33.96%"
"Jan 31, 2022","-0.106","-0.166","-0.070","-0.166","-17.19%"
"Jan 28, 2022","-0.128","-0.099","-0.073","-0.128","4.07%"
"Jan 27, 2022","-0.123","-0.068","-0.056","-0.125","23.00%"
"Jan 26, 2022","-0.100","-0.126","-0.082","-0.126","-15.97%"
"Jan 25, 2022","-0.119","-0.122","-0.116","-0.142","-7.75%"
"Jan 24, 2022","-0.129","-0.124","-0.119","-0.146","0.00%"
"Jan 22, 2022","-0.128","-0.128","-0.128","-0.128","3.63%"
"Jan 21, 2022","-0.124","-0.114","-0.101","-0.135","12.73%"
"Jan 20, 2022","-0.110","-0.088","-0.088","-0.117","22.22%"
"Jan 19, 2022","-0.090","-0.074","-0.066","-0.106","-8.16%"
"Jan 18, 2022","-0.098","-0.099","-0.078","-0.116","-2.00%"
"Jan 17, 2022","-0.100","-0.098","-0.094","-0.118","-16.67%"
"Jan 14, 2022","-0.120","-0.126","-0.104","-0.127","-6.98%"
"Jan 13, 2022","-0.129","-0.113","-0.103","-0.136","4.88%"
"Jan 12, 2022","-0.123","-0.096","-0.090","-0.140","33.70%"
"Jan 11, 2022","-0.092","-0.087","-0.080","-0.106","-8.00%"
"Jan 10, 2022","-0.100","-0.073","-0.066","-0.112","44.93%"
"Jan 07, 2022","-0.069","-0.069","-0.064","-0.100","-9.21%"
"Jan 06, 2022","-0.076","-0.086","-0.040","-0.091","-20.83%"
"Jan 05, 2022","-0.096","-0.098","-0.072","-0.117","-9.43%"
"Jan 04, 2022","-0.106","-0.094","-0.078","-0.119","27.71%"
"Jan 03, 2022","-0.083","-0.075","-0.052","-0.104","12.16%"
"Dec 31, 2021","-0.074","-0.084","-0.074","-0.084","-10.84%"
"Dec 30, 2021","-0.083","-0.098","-0.059","-0.112","-11.70%"
"Dec 29, 2021","-0.094","-0.107","-0.045","-0.112","-15.32%"
"Dec 28, 2021","-0.111","-0.097","-0.017","-0.112","9.90%"
"Dec 27, 2021","-0.101","-0.119","-0.047","-0.119","-20.47%"
"Dec 24, 2021","-0.127","-0.141","-0.127","-0.141","-7.97%"
"Dec 23, 2021","-0.138","-0.178","-0.117","-0.180","-33.33%"
"Dec 22, 2021","-0.207","-0.237","-0.168","-0.240","-13.75%"
"Dec 21, 2021","-0.240","-0.277","-0.227","-0.280","-12.73%"
"Dec 20, 2021","-0.275","-0.292","-0.243","-0.307","-4.18%"
"Dec 17, 2021","-0.287","-0.267","-0.239","-0.293","14.80%"
"Dec 16, 2021","-0.250","-0.282","-0.203","-0.282","-9.42%"
"Dec 15, 2021","-0.276","-0.287","-0.244","-0.293","-4.83%"
"Dec 14, 2021","-0.290","-0.327","-0.265","-0.347","-12.65%"
"Dec 13, 2021","-0.332","-0.291","-0.239","-0.332","10.30%"
"Dec 10, 2021","-0.301","-0.243","-0.243","-0.303","16.67%"
"Dec 09, 2021","-0.258","-0.239","-0.230","-0.271","15.70%"
"Dec 08, 2021","-0.223","-0.275","-0.219","-0.297","-23.10%"
"Dec 07, 2021","-0.290","-0.284","-0.277","-0.303","-10.49%"
"Dec 06, 2021","-0.324","-0.292","-0.285","-0.330","14.49%"
"Dec 03, 2021","-0.283","-0.280","-0.257","-0.306","2.17%"
"Dec 02, 2021","-0.277","-0.228","-0.225","-0.301","22.57%"
"Dec 01, 2021","-0.226","-0.287","-0.219","-0.287","-24.92%"
"Nov 30, 2021","-0.301","-0.318","-0.291","-0.333","-40.40%"
"Nov 29, 2021","-0.505","-0.512","-0.491","-0.515","-2.98%"
"Nov 27, 2021","-0.521","-0.521","-0.521","-0.521","1.46%"
"Nov 26, 2021","-0.513","-0.499","-0.494","-0.518","8.69%"
"Nov 25, 2021","-0.472","-0.498","-0.466","-0.509","-2.07%"
"Nov 24, 2021","-0.482","-0.491","-0.467","-0.499","-0.82%"
"Nov 23, 2021","-0.486","-0.528","-0.481","-0.529","-9.33%"
"Nov 22, 2021","-0.536","-0.569","-0.528","-0.581","-7.03%"
"Nov 20, 2021","-0.576","-0.576","-0.576","-0.576","3.50%"
"Nov 19, 2021","-0.557","-0.521","-0.498","-0.569","6.10%"
"Nov 18, 2021","-0.525","-0.511","-0.487","-0.537","4.79%"
"Nov 17, 2021","-0.501","-0.501","-0.486","-0.511","0.20%"
"Nov 16, 2021","-0.500","-0.474","-0.462","-0.502","2.25%"
"Nov 15, 2021","-0.489","-0.520","-0.480","-0.522","-1.21%"
"Nov 12, 2021","-0.495","-0.491","-0.460","-0.505","0.00%"
"Nov 11, 2021","-0.495","-0.496","-0.481","-0.514","-4.81%"
"Nov 10, 2021","-0.520","-0.561","-0.511","-0.567","-8.93%"
"Nov 09, 2021","-0.571","-0.551","-0.533","-0.574","4.01%"
"Nov 08, 2021","-0.549","-0.544","-0.507","-0.555","-0.54%"
"Nov 05, 2021","-0.552","-0.512","-0.487","-0.555","7.18%"
"Nov 04, 2021","-0.515","-0.462","-0.444","-0.522","15.73%"
"Nov 03, 2021","-0.445","-0.458","-0.434","-0.471","0.45%"
"Nov 02, 2021","-0.443","-0.342","-0.340","-0.450","42.90%"
"Nov 01, 2021","-0.310","-0.305","-0.274","-0.332","-0.32%"
"Oct 30, 2021","-0.311","-0.311","-0.311","-0.311","5.42%"
"Oct 29, 2021","-0.295","-0.307","-0.276","-0.339","-22.98%"
"Oct 28, 2021","-0.383","-0.410","-0.339","-0.412","-14.70%"
"Oct 27, 2021","-0.449","-0.456","-0.417","-0.466","0.67%"
"Oct 26, 2021","-0.446","-0.442","-0.408","-0.450","2.06%"
"Oct 25, 2021","-0.437","-0.430","-0.392","-0.439","4.55%"
"Oct 23, 2021","-0.418","-0.418","-0.418","-0.418","1.95%"
"Oct 22, 2021","-0.410","-0.410","-0.382","-0.417","-3.30%"
"Oct 21, 2021","-0.424","-0.436","-0.423","-0.447","-1.62%"
"Oct 20, 2021","-0.431","-0.414","-0.386","-0.436","3.61%"
"Oct 19, 2021","-0.416","-0.454","-0.386","-0.455","-5.02%"
"Oct 18, 2021","-0.438","-0.453","-0.415","-0.457","-7.40%"
"Oct 15, 2021","-0.473","-0.481","-0.435","-0.481","-2.27%"
"Oct 14, 2021","-0.484","-0.462","-0.440","-0.489","2.98%"
"Oct 13, 2021","-0.470","-0.466","-0.442","-0.479","-0.63%"
"Oct 12, 2021","-0.473","-0.465","-0.445","-0.478","1.28%"
"Oct 11, 2021","-0.467","-0.476","-0.439","-0.480","-3.91%"
"Oct 08, 2021","-0.486","-0.477","-0.433","-0.499","-0.21%"
"Oct 07, 2021","-0.487","-0.489","-0.462","-0.499","2.96%"
"Oct 06, 2021","-0.473","-0.469","-0.438","-0.478","-2.67%"
"Oct 05, 2021","-0.486","-0.481","-0.457","-0.496","1.89%"
"Oct 04, 2021","-0.477","-0.477","-0.442","-0.485","0.00%"
"Oct 01, 2021","-0.477","-0.455","-0.447","-0.483","6.00%"
"Sep 30, 2021","-0.450","-0.454","-0.447","-0.465","-1.32%"
"Sep 29, 2021","-0.456","-0.451","-0.429","-0.465","2.01%"
"Sep 28, 2021","-0.447","-0.454","-0.420","-0.462","-3.46%"
"Sep 27, 2021","-0.463","-0.472","-0.424","-0.478","-3.34%"
"Sep 25, 2021","-0.479","-0.479","-0.479","-0.479","1.91%"
"Sep 24, 2021","-0.470","-0.483","-0.441","-0.484","-5.81%"
"Sep 23, 2021","-0.499","-0.502","-0.481","-0.518","-3.29%"
"Sep 22, 2021","-0.516","-0.502","-0.490","-0.524","2.38%"
"Sep 21, 2021","-0.504","-0.491","-0.463","-0.507","3.70%"
"Sep 20, 2021","-0.486","-0.472","-0.447","-0.491","0.21%"
"Sep 19, 2021","-0.485","-0.485","-0.485","-0.485","2.11%"
"Sep 17, 2021","-0.475","-0.477","-0.447","-0.487","-1.86%"
