"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","-0,563","-0,540","-0,540","-0,566","-0,53%"
"24.03.2022","-0,566","-0,524","-0,524","-0,579","-0,18%"
"23.03.2022","-0,567","-0,549","-0,481","-0,571","-0,70%"
"22.03.2022","-0,571","-0,495","-0,495","-0,571","-0,87%"
"21.03.2022","-0,576","-0,550","-0,530","-0,585","-0,52%"
"18.03.2022","-0,579","-0,591","-0,550","-0,600","1,58%"
"17.03.2022","-0,570","-0,557","-0,517","-0,580","0,35%"
"16.03.2022","-0,568","-0,549","-0,546","-0,593","-1,56%"
"15.03.2022","-0,577","-0,569","-0,568","-0,584","0,52%"
"14.03.2022","-0,574","-0,549","-0,548","-0,592","2,14%"
"11.03.2022","-0,562","-0,536","-0,495","-0,572","7,25%"
"10.03.2022","-0,524","-0,469","-0,436","-0,567","-3,50%"
"09.03.2022","-0,543","-0,517","-0,516","-0,544","0,00%"
"08.03.2022","-0,543","-0,534","-0,477","-0,566","0,00%"
"07.03.2022","-0,543","-0,505","-0,494","-0,556","-1,63%"
"04.03.2022","-0,552","-0,531","-0,511","-0,555","6,36%"
"03.03.2022","-0,519","-0,534","-0,473","-0,534","0,58%"
"02.03.2022","-0,516","-0,519","-0,498","-0,540","-3,55%"
"01.03.2022","-0,535","-0,455","-0,453","-0,546","-11,57%"
"28.02.2022","-0,605","-0,575","-0,569","-0,606","3,60%"
"25.02.2022","-0,584","-0,558","-0,555","-0,595","4,47%"
"24.02.2022","-0,559","-0,549","-0,540","-0,578","-0,71%"
"23.02.2022","-0,563","-0,516","-0,508","-0,589","1,81%"
"22.02.2022","-0,553","-0,531","-0,509","-0,553","3,75%"
"21.02.2022","-0,533","-0,533","-0,530","-0,554","-2,56%"
"18.02.2022","-0,547","-0,526","-0,524","-0,554","2,05%"
"17.02.2022","-0,536","-0,528","-0,515","-0,567","2,29%"
"16.02.2022","-0,524","-0,517","-0,515","-0,544","0,77%"
"15.02.2022","-0,520","-0,514","-0,511","-0,538","-2,07%"
"14.02.2022","-0,531","-0,510","-0,507","-0,531","2,71%"
"11.02.2022","-0,517","-0,480","-0,476","-0,524","1,97%"
"10.02.2022","-0,507","-0,505","-0,488","-0,515","-0,39%"
"09.02.2022","-0,509","-0,485","-0,474","-0,511","5,82%"
"08.02.2022","-0,481","-0,463","-0,456","-0,485","2,12%"
"07.02.2022","-0,471","-0,469","-0,457","-0,474","0,43%"
"04.02.2022","-0,469","-0,437","-0,436","-0,471","1,74%"
"03.02.2022","-0,461","-0,485","-0,456","-0,496","-17,97%"
"02.02.2022","-0,562","-0,554","-0,544","-0,571","0,18%"
"01.02.2022","-0,561","-0,657","-0,541","-0,657","-3,61%"
"31.01.2022","-0,582","-0,577","-0,569","-0,594","2,46%"
"28.01.2022","-0,568","-0,556","-0,550","-0,586","3,84%"
"27.01.2022","-0,547","-0,535","-0,501","-0,569","1,11%"
"26.01.2022","-0,541","-0,558","-0,517","-0,558","-4,59%"
"25.01.2022","-0,567","-0,557","-0,541","-0,569","1,25%"
"24.01.2022","-0,560","-0,545","-0,505","-0,569","-1,75%"
"21.01.2022","-0,570","-0,568","-0,551","-0,571","2,15%"
"20.01.2022","-0,558","-0,546","-0,532","-0,560","-2,11%"
"19.01.2022","-0,570","-0,594","-0,520","-0,595","0,00%"
"18.01.2022","-0,570","-0,556","-0,480","-0,613","-1,72%"
"17.01.2022","-0,580","-0,557","-0,491","-0,637","4,50%"
"14.01.2022","-0,555","-0,567","-0,543","-0,579","0,91%"
"13.01.2022","-0,550","-0,577","-0,545","-0,595","-6,46%"
"12.01.2022","-0,588","-0,605","-0,545","-0,606","-3,29%"
"11.01.2022","-0,608","-0,617","-0,592","-0,636","-3,49%"
"10.01.2022","-0,630","-0,656","-0,613","-0,656","-3,82%"
"07.01.2022","-0,655","-0,680","-0,626","-0,701","-4,38%"
"06.01.2022","-0,685","-0,730","-0,613","-0,740","-4,33%"
"05.01.2022","-0,716","-0,712","-0,688","-0,753","2,14%"
"04.01.2022","-0,701","-0,640","-0,630","-0,716","5,41%"
"03.01.2022","-0,665","-0,580","-0,525","-0,665","6,06%"
"31.12.2021","-0,627","-0,627","-0,627","-0,627","4,33%"
"30.12.2021","-0,601","-0,601","-0,601","-0,601","-3,06%"
"29.12.2021","-0,620","-0,562","-0,552","-0,667","12,73%"
"28.12.2021","-0,550","-0,570","-0,545","-0,583","-0,18%"
"27.12.2021","-0,551","-0,563","-0,551","-0,597","-2,99%"
"23.12.2021","-0,568","-0,572","-0,566","-0,616","-5,33%"
"22.12.2021","-0,600","-0,623","-0,565","-0,637","0,84%"
"21.12.2021","-0,595","-0,554","-0,550","-0,623","2,23%"
"20.12.2021","-0,582","-0,586","-0,582","-0,586","5,05%"
"17.12.2021","-0,554","-0,549","-0,546","-0,594","1,09%"
"16.12.2021","-0,548","-0,558","-0,488","-0,585","-1,62%"
"15.12.2021","-0,557","-0,558","-0,555","-0,589","-0,18%"
"14.12.2021","-0,558","-0,564","-0,549","-0,589","-0,89%"
"13.12.2021","-0,563","-0,569","-0,559","-0,599","0,54%"
"10.12.2021","-0,560","-0,582","-0,552","-0,635","-3,95%"
