#Contract;ISIN;Coupon;Maturity;ConvFac
CONF JUN 2022;CH0015803239;3.500000;08.04.2033;0.805859
CONF JUN 2022;CH0127181029;2.250000;22.06.2031;0.744937
CONF JUN 2022;CH0344958688;0.500000;27.06.2032;0.595195
CONF JUN 2022;CH0440081393;0.000000;26.06.2034;0.496969
CONF SEP 2022;CH0440081393;0.000000;26.06.2034;0.504262
CONF SEP 2022;CH0015803239;3.500000;08.04.2033;0.809062
CONF SEP 2022;CH0557778310;0.250000;23.06.2035;0.497550
CONF SEP 2022;CH0127181029;2.250000;22.06.2031;0.750243
CONF SEP 2022;CH0344958688;0.500000;27.06.2032;0.602679
CONF DEC 2022;CH0344958688;0.500000;27.06.2032;0.610291
CONF DEC 2022;CH0440081393;0.000000;26.06.2034;0.511661
CONF DEC 2022;CH0015803239;3.500000;08.04.2033;0.812441
CONF DEC 2022;CH0557778310;0.250000;23.06.2035;0.504235
CONF DEC 2022;CH0127181029;2.250000;22.06.2031;0.755709
FBON JUN 2022;ES0000012K20;0.700000;30.04.2032;0.613134
FBON JUN 2022;ES0000012H41;0.100000;30.04.2031;0.602519
FBON JUN 2022;ES0000012I32;0.500000;31.10.2031;0.613626
FBON SEP 2022;ES0000012K20;0.700000;30.04.2032;0.620614
FBON SEP 2022;ES0000012H41;0.100000;30.04.2031;0.611373
FBON SEP 2022;ES0000012I32;0.500000;31.10.2031;0.621662
FBON DEC 2022;ES0000012K20;0.700000;30.04.2032;0.627988
FBON DEC 2022;ES0000012I32;0.500000;31.10.2031;0.629542
FBTM JUN 2022;IT0005240830;2.200000;01.06.2027;0.841959
FBTM JUN 2022;IT0005274805;2.050000;01.08.2027;0.830663
FBTM JUN 2022;IT0005323032;2.000000;01.02.2028;0.814511
FBTM JUN 2022;IT0005390874;0.850000;15.01.2027;0.798795
FBTM JUN 2022;IT0005416570;0.950000;15.09.2027;0.778288
FBTM JUN 2022;IT0005433690;0.250000;15.03.2028;0.726795
FBTM JUN 2022;IT0005484552;1.100000;01.04.2027;0.801072
FBTM SEP 2022;IT0005274805;2.050000;01.08.2027;0.837992
FBTM SEP 2022;IT0005416570;0.950000;15.09.2027;0.787566
FBTM SEP 2022;IT0005323032;2.000000;01.02.2028;0.821723
FBTM SEP 2022;IT0005433690;0.250000;15.03.2028;0.737064
FBTM SEP 2022;IT0005445306;0.500000;15.07.2028;0.735732
FBTM SEP 2022;IT0004889033;4.750000;01.09.2028;0.942199
