"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","2,881","2,870","2,885","2,823","0,42%"
"24.03.2022","2,869","2,840","2,887","2,823","0,00%"
"23.03.2022","2,869","2,839","2,872","2,817","0,49%"
"22.03.2022","2,855","2,898","2,910","2,841","-0,28%"
"21.03.2022","2,863","2,815","2,876","2,809","2,29%"
"18.03.2022","2,799","2,806","2,821","2,783","-0,14%"
"17.03.2022","2,803","2,809","2,820","2,738","-0,07%"
"16.03.2022","2,805","2,857","2,860","2,790","-0,28%"
"15.03.2022","2,813","2,858","2,858","2,790","-0,57%"
"14.03.2022","2,829","2,774","2,849","2,774","2,57%"
"11.03.2022","2,758","2,869","2,886","2,737","-3,02%"
"10.03.2022","2,844","2,718","2,901","2,683","4,56%"
"09.03.2022","2,720","2,658","2,732","2,639","2,68%"
"08.03.2022","2,649","2,674","2,680","2,606","0,00%"
"07.03.2022","2,649","2,656","2,674","2,589","2,36%"
"04.03.2022","2,588","2,615","2,671","2,581","-1,63%"
"03.03.2022","2,631","2,594","2,674","2,590","1,43%"
"02.03.2022","2,594","2,526","2,622","2,525","4,18%"
"01.03.2022","2,490","2,691","2,707","2,485","-9,12%"
"28.02.2022","2,740","2,729","2,766","2,715","-0,22%"
"25.02.2022","2,746","2,745","2,843","2,700","1,22%"
"24.02.2022","2,713","2,755","2,776","2,685","-2,72%"
"23.02.2022","2,789","2,880","2,880","2,773","-1,86%"
"22.02.2022","2,842","2,829","2,851","2,803","0,07%"
"21.02.2022","2,840","2,796","2,848","2,788","1,32%"
"18.02.2022","2,803","2,805","2,830","2,771","0,11%"
"17.02.2022","2,800","2,819","2,847","2,779","-0,78%"
"16.02.2022","2,822","2,906","2,908","2,793","-2,01%"
"15.02.2022","2,880","2,841","2,907","2,829","1,69%"
"14.02.2022","2,832","2,876","2,878","2,788","0,39%"
"11.02.2022","2,821","2,823","2,860","2,790","0,86%"
"10.02.2022","2,797","2,750","2,833","2,729","2,23%"
"09.02.2022","2,736","2,735","2,770","2,710","-1,30%"
"08.02.2022","2,772","2,746","2,784","2,689","2,14%"
"07.02.2022","2,714","2,668","2,785","2,666","2,82%"
"05.02.2022","2,639","2,639","2,639","2,639","-0,96%"
"04.02.2022","2,665","2,643","2,666","2,571","3,13%"
"03.02.2022","2,584","2,552","2,617","2,495","3,32%"
"02.02.2022","2,501","2,514","2,545","2,488","-0,68%"
"01.02.2022","2,518","2,514","2,524","2,461","0,64%"
"31.01.2022","2,502","2,455","2,515","2,440","0,48%"
"28.01.2022","2,490","2,539","2,543","2,487","-0,16%"
"27.01.2022","2,494","2,593","2,593","2,493","-1,85%"
"26.01.2022","2,541","2,507","2,573","2,507","0,99%"
"25.01.2022","2,516","2,492","2,524","2,491","0,92%"
"24.01.2022","2,493","2,474","2,510","2,449","1,05%"
"22.01.2022","2,467","2,467","2,467","2,467","-0,68%"
"21.01.2022","2,484","2,479","2,493","2,467","-0,40%"
"20.01.2022","2,494","2,541","2,541","2,480","-1,81%"
"19.01.2022","2,540","2,566","2,568","2,516","0,87%"
"18.01.2022","2,518","2,506","2,529","2,494","1,00%"
"17.01.2022","2,493","2,503","2,506","2,484","0,44%"
"14.01.2022","2,482","2,445","2,490","2,444","1,22%"
"13.01.2022","2,452","2,522","2,529","2,446","-2,08%"
"12.01.2022","2,504","2,549","2,571","2,493","-2,38%"
"11.01.2022","2,565","2,555","2,577","2,504","1,42%"
"10.01.2022","2,529","2,572","2,574","2,486","-1,25%"
"07.01.2022","2,561","2,541","2,565","2,527","1,67%"
"06.01.2022","2,519","2,532","2,582","2,519","0,32%"
"05.01.2022","2,511","2,460","2,514","2,453","2,91%"
"04.01.2022","2,440","2,391","2,454","2,391","2,05%"
"03.01.2022","2,391","2,367","2,403","2,335","-0,79%"
